Maths,Physics,Chemistry,Result,total MP
49,64,9,0,113
43,17,97,0,60
53,48,25,0,101
24,26,62,0,50
33,37,95,0,70
13,16,69,0,29
32,49,91,0,81
93,19,59,0,112
65,19,74,0,84
26,49,33,0,75
77,48,85,1,125
55,30,93,0,85
2,63,71,0,65
28,82,62,0,110
2,42,33,0,44
50,26,72,0,76
18,11,88,0,29
4,81,8,0,85
92,14,55,0,106
20,85,91,0,105
57,37,78,0,94
90,82,46,1,172
64,68,89,1,132
86,31,85,0,117
54,89,59,1,143
69,75,12,0,144
28,14,99,0,42
80,58,43,1,138
88,35,21,0,123
66,54,32,0,120
57,22,11,0,79
28,36,44,0,64
67,83,14,0,150
83,65,14,0,148
3,85,44,0,88
50,34,43,0,84
86,73,25,0,159
73,23,58,0,96
41,95,77,1,136
84,59,37,0,143
80,47,21,0,127
54,74,6,0,128
7,73,76,0,80
94,12,9,0,106
38,51,80,0,89
16,88,32,0,104
27,61,77,0,88
6,46,63,0,52
39,12,26,0,51
9,30,95,0,39
9,35,84,0,44
39,51,70,0,90
38,82,9,0,120
95,27,53,0,122
20,53,30,0,73
53,64,49,1,117
72,37,17,0,109
32,44,31,0,76
16,22,78,0,38
1,58,91,0,59
71,80,60,1,151
4,54,80,0,58
75,78,29,0,153
27,72,68,0,99
72,78,18,0,150
58,40,90,1,98
21,18,54,0,39
99,15,42,0,114
90,20,69,0,110
79,27,68,0,106
65,31,7,0,96
4,31,46,0,35
48,78,83,1,126
25,37,56,0,62
44,44,41,1,88
12,52,7,0,64
26,86,25,0,112
73,74,30,0,147
86,42,46,1,128
55,57,77,1,112
75,53,22,0,128
24,53,48,0,77
63,24,59,0,87
13,47,32,0,60
85,40,39,0,125
49,87,91,1,136
37,72,17,0,109
64,27,53,0,91
63,84,75,1,147
2,80,49,0,82
41,23,92,0,64
78,51,73,1,129
51,15,67,0,66
36,62,73,0,98
2,19,35,0,21
20,58,13,0,78
25,28,97,0,53
41,26,10,0,67
72,53,15,0,125
100,24,22,0,124
17,88,26,0,105
43,85,26,0,128
54,58,73,1,112
27,19,32,0,46
34,83,39,0,117
86,80,47,1,166
12,38,81,0,50
48,82,69,1,130
70,20,37,0,90
44,44,52,1,88
87,56,48,1,143
68,47,48,1,115
62,82,19,0,144
98,78,42,1,176
68,24,35,0,92
30,68,82,0,98
8,45,96,0,53
92,23,67,0,115
5,15,22,0,20
10,47,79,0,57
17,11,75,0,28
21,88,18,0,109
21,95,46,0,116
68,11,10,0,79
27,21,57,0,48
34,62,14,0,96
97,24,53,0,121
42,15,23,0,57
76,34,21,0,110
64,40,48,1,104
32,85,19,0,117
47,63,83,1,110
43,30,80,0,73
43,24,53,0,67
14,67,14,0,81
37,31,78,0,68
30,40,75,0,70
77,30,33,0,107
99,23,77,0,122
91,65,15,0,156
62,58,39,0,120
17,79,51,0,96
74,47,42,1,121
70,80,77,1,150
98,42,73,1,140
13,71,19,0,84
41,50,63,1,91
5,22,40,0,27
52,36,18,0,88
9,93,10,0,102
48,50,42,1,98
100,15,6,0,115
18,13,83,0,31
16,11,90,0,27
43,47,6,0,90
14,86,16,0,100
78,50,57,1,128
75,67,19,0,142
100,60,10,0,160
48,50,29,0,98
9,61,35,0,70
73,18,80,0,91
70,18,58,0,88
28,50,25,0,78
72,86,19,0,158
10,68,62,0,78
34,24,26,0,58
46,42,92,1,88
37,37,35,0,74
72,89,25,0,161
68,79,18,0,147
14,70,60,0,84
58,94,53,1,152
35,55,74,0,90
13,43,42,0,56
100,33,75,0,133
5,79,37,0,84
37,36,96,0,73
1,49,66,0,50
78,35,45,0,113
85,41,17,0,126
1,56,31,0,57
11,20,88,0,31
52,45,45,1,97
14,21,10,0,35
5,67,8,0,72
24,21,6,0,45
30,93,42,0,123
100,83,97,1,183
75,92,81,1,167
53,53,45,1,106
20,39,62,0,59
14,59,55,0,73
57,49,45,1,106
21,15,56,0,36
87,51,13,0,138
30,33,13,0,63
20,50,45,0,70
95,84,81,1,179
13,48,63,0,61
55,41,19,0,96
48,52,37,0,100
69,22,32,0,91
37,79,84,0,116
70,88,74,1,158
32,84,93,0,116
91,86,65,1,177
61,21,89,0,82
40,41,50,1,81
12,38,38,0,50
26,12,28,0,38
83,41,74,1,124
40,61,31,0,101
5,19,44,0,24
3,44,30,0,47
1,80,36,0,81
100,19,51,0,119
37,19,15,0,56
92,12,40,0,104
76,91,16,0,167
40,11,62,0,51
57,47,16,0,104
50,55,88,1,105
40,73,78,1,113
51,70,87,1,121
8,29,48,0,37
8,22,34,0,30
40,74,54,1,114
76,51,44,1,127
58,19,10,0,77
14,75,46,0,89
32,95,28,0,127
27,32,45,0,59
100,32,79,0,132
79,29,43,0,108
99,28,36,0,127
69,50,47,1,119
88,49,17,0,137
60,23,74,0,83
84,75,83,1,159
45,87,79,1,132
33,47,81,0,80
23,26,16,0,49
69,36,36,0,105
26,28,33,0,54
39,79,7,0,118
25,14,36,0,39
31,50,56,0,81
46,89,14,0,135
10,80,39,0,90
35,36,75,0,71
11,32,14,0,43
96,48,98,1,144
57,65,14,0,122
11,78,7,0,89
83,30,86,0,113
73,16,6,0,89
82,95,42,1,177
43,41,50,1,84
29,42,68,0,71
49,18,65,0,67
39,67,24,0,106
5,65,17,0,70
41,80,69,1,121
23,42,46,0,65
40,79,14,0,119
74,66,70,1,140
38,78,90,0,116
31,68,27,0,99
42,11,27,0,53
12,60,24,0,72
69,53,23,0,122
78,31,45,0,109
74,43,44,1,117
76,72,18,0,148
11,13,95,0,24
31,92,70,0,123
28,63,82,0,91
2,83,42,0,85
31,12,21,0,43
51,17,31,0,68
9,55,23,0,64
34,84,74,0,118
70,27,97,0,97
9,85,9,0,94
93,26,45,0,119
9,27,84,0,36
2,43,91,0,45
81,45,75,1,126
1,60,93,0,61
37,82,31,0,119
96,61,27,0,157
45,32,43,0,77
63,88,60,1,151
60,21,73,0,81
19,39,25,0,58
12,72,11,0,84
64,10,96,0,74
99,32,90,0,131
41,77,36,0,118
9,50,37,0,59
65,74,13,0,139
85,93,92,1,178
22,66,62,0,88
22,91,60,0,113
99,38,75,0,137
19,40,37,0,59
18,50,74,0,68
40,73,61,1,113
39,71,73,0,110
13,38,63,0,51
90,62,6,0,152
65,53,55,1,118
77,81,48,1,158
37,88,26,0,125
16,93,38,0,109
26,45,67,0,71
18,92,8,0,110
69,38,87,0,107
92,16,58,0,108
4,19,78,0,23
99,75,7,0,174
40,92,12,0,132
79,57,93,1,136
86,30,50,0,116
70,75,79,1,145
95,36,22,0,131
88,49,80,1,137
26,48,21,0,74
22,48,22,0,70
38,80,38,0,118
55,57,40,1,112
68,31,55,0,99
20,69,77,0,89
6,86,56,0,92
91,20,27,0,111
85,25,83,0,110
31,87,16,0,118
32,75,34,0,107
99,83,67,1,182
8,58,5,0,66
87,32,27,0,119
57,29,72,0,86
55,42,45,1,97
70,64,69,1,134
32,37,88,0,69
69,82,61,1,151
56,16,92,0,72
68,73,86,1,141
58,60,98,1,118
1,91,33,0,92
50,54,35,0,104
43,59,45,1,102
21,75,68,0,96
33,31,92,0,64
62,79,66,1,141
3,15,33,0,18
82,77,96,1,159
53,21,57,0,74
73,42,48,1,115
2,90,76,0,92
7,22,83,0,29
88,44,98,1,132
45,20,88,0,65
74,27,40,0,101
17,88,87,0,105
75,94,33,0,169
16,20,11,0,36
17,66,14,0,83
33,40,70,0,73
35,58,87,0,93
50,65,52,1,115
72,60,25,0,132
51,31,70,0,82
22,51,31,0,73
78,66,44,1,144
11,26,43,0,37
29,89,93,0,118
62,72,43,1,134
0,37,75,0,37
22,25,52,0,47
67,65,26,0,132
40,86,94,1,126
64,78,94,1,142
83,62,99,1,145
56,25,64,0,81
87,94,81,1,181
81,47,15,0,128
93,45,20,0,138
28,41,82,0,69
30,58,70,0,88
40,81,78,1,121
63,10,53,0,73
87,34,27,0,121
61,77,24,0,138
28,66,37,0,94
91,84,59,1,175
52,12,32,0,64
43,13,77,0,56
71,90,97,1,161
78,87,11,0,165
93,41,68,1,134
83,43,92,1,126
35,36,55,0,71
82,32,96,0,114
28,46,86,0,74
6,28,49,0,34
9,79,54,0,88
97,35,70,0,132
65,44,26,0,109
82,49,74,1,131
47,84,98,1,131
20,42,10,0,62
65,67,72,1,132
98,31,16,0,129
26,79,37,0,105
39,55,85,0,94
38,72,17,0,110
88,63,39,0,151
38,25,99,0,63
70,36,15,0,106
47,83,22,0,130
21,59,83,0,80
89,36,89,0,125
89,46,92,1,135
94,23,94,0,117
59,13,15,0,72
76,25,61,0,101
10,82,35,0,92
15,11,53,0,26
77,79,60,1,156
65,47,55,1,112
73,93,26,0,166
48,27,46,0,75
22,19,61,0,41
19,74,21,0,93
32,57,84,0,89
54,83,67,1,137
27,49,32,0,76
72,65,20,0,137
92,74,60,1,166
96,55,81,1,151
100,77,73,1,177
6,51,57,0,57
63,10,20,0,73
87,25,89,0,112
50,66,42,1,116
91,67,40,1,158
81,54,36,0,135
44,49,53,1,93
49,79,76,1,128
65,61,5,0,126
21,53,29,0,74
69,83,72,1,152
93,73,61,1,166
5,24,79,0,29
67,92,7,0,159
11,58,8,0,69
32,58,85,0,90
80,36,82,0,116
12,81,36,0,93
34,10,38,0,44
94,45,31,0,139
10,91,27,0,101
17,86,41,0,103
99,75,23,0,174
78,35,74,0,113
84,69,30,0,153
87,86,39,0,173
89,76,44,1,165
10,62,79,0,72
56,49,37,0,105
30,31,92,0,61
48,67,62,1,115
55,89,26,0,144
50,95,74,1,145
21,77,50,0,98
41,35,67,0,76
56,56,58,1,112
16,77,20,0,93
79,10,31,0,89
62,59,78,1,121
27,84,54,0,111
15,64,31,0,79
55,61,41,1,116
76,53,18,0,129
68,89,8,0,157
52,84,20,0,136
15,18,77,0,33
84,73,6,0,157
37,41,74,0,78
35,91,42,0,126
31,93,91,0,124
48,47,97,1,95
95,90,88,1,185
71,12,22,0,83
0,62,14,0,62
24,90,69,0,114
67,29,52,0,96
56,91,78,1,147
74,60,44,1,134
2,44,60,0,46
3,32,69,0,35
80,19,91,0,99
77,87,50,1,164
31,11,72,0,42
33,54,46,0,87
26,43,5,0,69
22,62,20,0,84
36,79,61,0,115
18,48,96,0,66
69,29,62,0,98
25,69,49,0,94
34,43,44,0,77
39,72,74,0,111
74,31,56,0,105
96,69,48,1,165
32,75,98,0,107
87,15,92,0,102
57,44,78,1,101
21,75,68,0,96
69,22,19,0,91
45,85,87,1,130
62,64,53,1,126
53,18,53,0,71
15,55,31,0,70
98,18,76,0,116
26,94,5,0,120
73,66,40,1,139
49,12,86,0,61
26,31,81,0,57
36,74,97,0,110
13,30,99,0,43
3,21,98,0,24
15,61,70,0,76
72,91,30,0,163
95,45,64,1,140
1,87,81,0,88
69,48,71,1,117
37,36,57,0,73
86,77,96,1,163
97,36,44,0,133
92,40,94,1,132
83,52,26,0,135
17,44,62,0,61
9,18,84,0,27
64,19,90,0,83
47,76,72,1,123
73,94,30,0,167
39,57,51,0,96
55,69,72,1,124
64,75,5,0,139
86,81,91,1,167
45,16,54,0,61
97,31,79,0,128
67,48,59,1,115
41,93,56,1,134
0,81,48,0,81
15,44,84,0,59
56,55,79,1,111
91,88,98,1,179
57,39,94,0,96
44,60,13,0,104
39,81,68,0,120
69,61,36,0,130
51,32,86,0,83
43,71,88,1,114
100,43,42,1,143
93,88,85,1,181
87,52,7,0,139
73,38,57,0,111
63,43,97,1,106
14,88,85,0,102
82,41,24,0,123
48,94,86,1,142
48,13,55,0,61
26,89,39,0,115
71,61,27,0,132
0,50,14,0,50
35,65,82,0,100
81,41,6,0,122
76,44,49,1,120
92,34,38,0,126
94,19,95,0,113
93,90,57,1,183
65,31,92,0,96
25,84,74,0,109
59,66,43,1,125
76,84,24,0,160
66,28,64,0,94
52,87,38,0,139
95,43,67,1,138
91,68,26,0,159
39,77,64,0,116
89,30,70,0,119
21,27,10,0,48
57,27,39,0,84
79,66,70,1,145
85,56,17,0,141
67,49,80,1,116
25,61,59,0,86
46,40,13,0,86
67,24,50,0,91
0,36,13,0,36
86,49,89,1,135
49,18,61,0,67
74,23,7,0,97
54,39,26,0,93
51,60,69,1,111
43,51,95,1,94
79,73,25,0,152
74,22,93,0,96
93,33,16,0,126
89,15,56,0,104
95,17,86,0,112
8,86,93,0,94
63,12,40,0,75
95,37,82,0,132
31,14,43,0,45
81,73,31,0,154
83,77,72,1,160
37,88,31,0,125
80,66,35,0,146
2,53,47,0,55
52,94,39,0,146
92,45,13,0,137
80,25,14,0,105
19,88,94,0,107
81,32,71,0,113
99,22,89,0,121
50,38,52,0,88
100,61,64,1,161
34,39,70,0,73
22,73,76,0,95
98,67,99,1,165
9,58,11,0,67
99,31,26,0,130
77,39,43,0,116
1,40,88,0,41
44,46,99,1,90
33,69,96,0,102
90,80,76,1,170
52,84,39,0,136
87,59,50,1,146
69,37,83,0,106
38,67,99,0,105
19,43,34,0,62
59,52,55,1,111
33,73,76,0,106
62,85,56,1,147
21,24,27,0,45
59,37,66,0,96
65,20,38,0,85
5,15,83,0,20
34,11,47,0,45
65,10,96,0,75
12,71,33,0,83
95,50,38,0,145
75,59,83,1,134
54,84,95,1,138
8,46,36,0,54
45,35,89,0,80
8,61,8,0,69
84,30,84,0,114
56,92,56,1,148
2,29,45,0,31
21,13,60,0,34
64,11,36,0,75
90,59,39,0,149
20,28,29,0,48
88,95,14,0,183
11,79,85,0,90
51,17,98,0,68
81,82,26,0,163
88,58,79,1,146
35,42,61,0,77
77,26,79,0,103
38,20,98,0,58
26,69,23,0,95
67,93,82,1,160
26,48,38,0,74
30,11,63,0,41
42,14,72,0,56
34,78,25,0,112
8,17,22,0,25
9,77,22,0,86
89,26,96,0,115
66,15,61,0,81
84,45,51,1,129
47,25,44,0,72
59,65,56,1,124
65,21,35,0,86
71,34,19,0,105
94,13,96,0,107
6,73,31,0,79
21,91,96,0,112
38,26,92,0,64
83,45,44,1,128
94,34,13,0,128
91,94,18,0,185
71,67,34,0,138
34,59,55,0,93
45,52,46,1,97
78,90,68,1,168
94,44,17,0,138
29,43,28,0,72
50,92,10,0,142
71,91,12,0,162
51,41,81,1,92
22,41,7,0,63
61,17,32,0,78
33,85,92,0,118
78,85,9,0,163
42,32,68,0,74
91,54,95,1,145
28,64,72,0,92
33,87,97,0,120
78,81,83,1,159
90,91,61,1,181
31,76,48,0,107
84,17,89,0,101
3,55,40,0,58
79,80,20,0,159
51,62,83,1,113
40,78,93,1,118
55,35,27,0,90
97,78,17,0,175
31,64,33,0,95
100,94,56,1,194
34,18,34,0,52
24,44,68,0,68
9,88,62,0,97
80,19,53,0,99
93,42,26,0,135
21,32,34,0,53
74,22,35,0,96
56,29,41,0,85
74,17,64,0,91
93,36,75,0,129
18,64,79,0,82
77,15,54,0,92
33,16,32,0,49
58,91,62,1,149
67,21,96,0,88
20,75,38,0,95
17,70,47,0,87
99,74,68,1,173
17,57,80,0,74
91,22,19,0,113
56,50,32,0,106
46,15,15,0,61
39,26,10,0,65
96,78,6,0,174
51,14,5,0,65
30,66,66,0,96
14,95,45,0,109
91,26,54,0,117
26,60,79,0,86
91,67,41,1,158
87,13,30,0,100
39,77,56,0,116
8,44,25,0,52
13,21,87,0,34
29,42,24,0,71
50,51,8,0,101
41,20,6,0,61
63,48,54,1,111
12,14,23,0,26
23,59,90,0,82
5,17,74,0,22
7,43,12,0,50
76,50,77,1,126
2,26,53,0,28
96,43,37,0,139
27,58,21,0,85
87,24,15,0,111
4,48,64,0,52
63,22,88,0,85
90,64,43,1,154
67,41,6,0,108
92,74,9,0,166
