Maths,Physics,Chemistry,Result,total MP
1970-01-01 00:00:00.000000028,25,87,0,53
1970-01-01 00:00:00.000000097,52,17,0,149
1970-01-01 00:00:00.000000058,74,28,0,132
1970-01-01 00:00:00.000000037,64,85,0,101
1970-01-01 00:00:00.000000002,74,97,0,76
1970-01-01 00:00:00.000000053,95,42,1,148
1970-01-01 00:00:00.000000071,34,20,0,105
1970-01-01 00:00:00.000000082,48,47,1,130
1970-01-01 00:00:00.000000012,46,97,0,58
1970-01-01 00:00:00.000000023,85,96,0,108
1970-01-01 00:00:00.000000080,73,69,1,153
1970-01-01 00:00:00.000000092,74,59,1,166
1970-01-01 00:00:00.000000037,60,69,0,97
1970-01-01 00:00:00.000000015,85,90,0,100
1970-01-01 00:00:00.000000095,14,29,0,109
1970-01-01 00:00:00.000000042,71,43,1,113
1970-01-01 00:00:00.000000092,41,41,1,133
1970-01-01 00:00:00.000000091,61,80,1,152
1970-01-01 00:00:00.000000064,63,68,1,127
1970-01-01 00:00:00.000000054,95,69,1,149
1970-01-01 00:00:00.000000064,32,55,0,96
1970-01-01 00:00:00.000000085,56,80,1,141
1970-01-01 00:00:00.000000024,80,9,0,104
1970-01-01 00:00:00.000000038,57,66,0,95
1970-01-01 00:00:00.000000036,21,36,0,57
1970-01-01 00:00:00.000000075,66,56,1,141
1970-01-01 00:00:00.000000063,94,58,1,157
1970-01-01 00:00:00.000000064,75,90,1,139
1970-01-01 00:00:00.000000050,23,27,0,73
1970-01-01 00:00:00.000000075,30,51,0,105
1970-01-01 00:00:00.000000004,76,75,0,80
1970-01-01 00:00:00.000000061,60,94,1,121
1970-01-01 00:00:00.000000031,57,91,0,88
1970-01-01 00:00:00.000000095,72,99,1,167
1970-01-01 00:00:00.000000051,13,52,0,64
1970-01-01 00:00:00.000000053,70,16,0,123
1970-01-01 00:00:00.000000085,15,61,0,100
1970-01-01 00:00:00.000000022,49,89,0,71
1970-01-01 00:00:00.000000046,88,70,1,134
1970-01-01 00:00:00.000000070,85,18,0,155
1970-01-01 00:00:00.000000089,84,25,0,173
1970-01-01 00:00:00.000000099,60,71,1,159
1970-01-01 00:00:00.000000086,92,55,1,178
1970-01-01 00:00:00.000000094,31,52,0,125
1970-01-01 00:00:00.000000047,31,67,0,78
1970-01-01 00:00:00.000000011,74,98,0,85
1970-01-01 00:00:00.000000056,39,8,0,95
1970-01-01 00:00:00.000000084,11,65,0,95
1970-01-01 00:00:00.000000065,35,10,0,100
1970-01-01 00:00:00.000000013,79,44,0,92
1970-01-01 00:00:00.000000099,80,95,1,179
1970-01-01 00:00:00.000000020,39,83,0,59
1970-01-01 00:00:00.000000066,61,80,1,127
1970-01-01 00:00:00.000000050,75,79,1,125
1970-01-01 00:00:00.000000047,54,55,1,101
1970-01-01 00:00:00.000000062,83,87,1,145
1970-01-01 00:00:00.000000093,55,26,0,148
1970-01-01 00:00:00.000000003,68,26,0,71
1970-01-01 00:00:00.000000060,44,69,1,104
1970-01-01 00:00:00.000000005,94,34,0,99
1970-01-01 00:00:00.000000039,80,6,0,119
1970-01-01 00:00:00.000000090,87,30,0,177
1970-01-01 00:00:00.000000078,10,74,0,88
1970-01-01 00:00:00.000000075,59,75,1,134
1970-01-01 00:00:00.000000074,75,34,0,149
1970-01-01 00:00:00.000000050,26,56,0,76
1970-01-01 00:00:00.000000082,76,70,1,158
1970-01-01 00:00:00.000000021,81,49,0,102
1970-01-01 00:00:00.000000021,36,78,0,57
1970-01-01 00:00:00.000000064,64,50,1,128
1970-01-01 00:00:00.000000029,17,63,0,46
1970-01-01 00:00:00.000000001,71,39,0,72
1970-01-01 00:00:00.000000098,56,89,1,154
1970-01-01 00:00:00.000000025,82,75,0,107
1970-01-01 00:00:00.000000069,80,82,1,149
1970-01-01 00:00:00.000000070,35,98,0,105
1970-01-01 00:00:00.000000029,74,5,0,103
1970-01-01 00:00:00.000000051,62,54,1,113
1970-01-01 00:00:00.000000065,72,99,1,137
1970-01-01 00:00:00.000000044,55,70,1,99
1970-01-01 00:00:00.000000073,63,21,0,136
1970-01-01 00:00:00.000000045,54,71,1,99
1970-01-01 00:00:00.000000058,10,76,0,68
1970-01-01 00:00:00.000000034,78,31,0,112
1970-01-01 00:00:00.000000084,79,59,1,163
1970-01-01 00:00:00.000000070,89,12,0,159
1970-01-01 00:00:00.000000077,88,66,1,165
1970-01-01 00:00:00.000000093,52,51,1,145
1970-01-01 00:00:00.000000000,68,77,0,68
1970-01-01 00:00:00.000000049,86,75,1,135
1970-01-01 00:00:00.000000100,13,30,0,113
1970-01-01 00:00:00.000000094,39,69,0,133
1970-01-01 00:00:00.000000065,91,57,1,156
1970-01-01 00:00:00.000000016,32,67,0,48
1970-01-01 00:00:00.000000066,80,50,1,146
1970-01-01 00:00:00.000000099,84,58,1,183
1970-01-01 00:00:00.000000071,33,49,0,104
1970-01-01 00:00:00.000000026,21,5,0,47
1970-01-01 00:00:00.000000054,80,73,1,134
1970-01-01 00:00:00.000000007,42,74,0,49
1970-01-01 00:00:00.000000061,14,84,0,75
1970-01-01 00:00:00.000000046,19,83,0,65
1970-01-01 00:00:00.000000072,20,47,0,92
1970-01-01 00:00:00.000000070,12,63,0,82
1970-01-01 00:00:00.000000025,67,81,0,92
1970-01-01 00:00:00.000000064,11,8,0,75
1970-01-01 00:00:00.000000052,45,34,0,97
1970-01-01 00:00:00.000000062,41,86,1,103
1970-01-01 00:00:00.000000045,44,27,0,89
1970-01-01 00:00:00.000000053,24,75,0,77
1970-01-01 00:00:00.000000044,89,79,1,133
1970-01-01 00:00:00.000000000,33,28,0,33
1970-01-01 00:00:00.000000068,54,16,0,122
1970-01-01 00:00:00.000000069,47,75,1,116
1970-01-01 00:00:00.000000079,18,37,0,97
1970-01-01 00:00:00.000000100,31,9,0,131
1970-01-01 00:00:00.000000078,30,91,0,108
1970-01-01 00:00:00.000000042,42,14,0,84
1970-01-01 00:00:00.000000058,77,15,0,135
1970-01-01 00:00:00.000000076,31,7,0,107
1970-01-01 00:00:00.000000003,94,62,0,97
1970-01-01 00:00:00.000000029,44,6,0,73
1970-01-01 00:00:00.000000081,92,40,1,173
1970-01-01 00:00:00.000000022,47,36,0,69
1970-01-01 00:00:00.000000070,68,39,0,138
1970-01-01 00:00:00.000000074,51,19,0,125
1970-01-01 00:00:00.000000023,73,84,0,96
1970-01-01 00:00:00.000000011,70,28,0,81
1970-01-01 00:00:00.000000070,24,49,0,94
1970-01-01 00:00:00.000000032,13,42,0,45
1970-01-01 00:00:00.000000004,49,13,0,53
1970-01-01 00:00:00.000000086,59,26,0,145
1970-01-01 00:00:00.000000009,53,25,0,62
1970-01-01 00:00:00.000000010,63,37,0,73
1970-01-01 00:00:00.000000002,34,72,0,36
1970-01-01 00:00:00.000000057,43,26,0,100
1970-01-01 00:00:00.000000001,23,89,0,24
1970-01-01 00:00:00.000000096,42,39,0,138
1970-01-01 00:00:00.000000096,75,87,1,171
1970-01-01 00:00:00.000000035,36,96,0,71
1970-01-01 00:00:00.000000031,87,42,0,118
1970-01-01 00:00:00.000000034,65,63,0,99
1970-01-01 00:00:00.000000014,12,94,0,26
1970-01-01 00:00:00.000000079,38,46,0,117
1970-01-01 00:00:00.000000023,12,68,0,35
1970-01-01 00:00:00.000000044,60,65,1,104
1970-01-01 00:00:00.000000037,28,19,0,65
1970-01-01 00:00:00.000000008,14,8,0,22
1970-01-01 00:00:00.000000021,30,44,0,51
1970-01-01 00:00:00.000000020,67,54,0,87
1970-01-01 00:00:00.000000032,74,48,0,106
1970-01-01 00:00:00.000000067,64,58,1,131
1970-01-01 00:00:00.000000021,79,29,0,100
1970-01-01 00:00:00.000000084,38,38,0,122
1970-01-01 00:00:00.000000034,90,18,0,124
1970-01-01 00:00:00.000000082,76,37,0,158
1970-01-01 00:00:00.000000091,67,98,1,158
1970-01-01 00:00:00.000000037,38,70,0,75
1970-01-01 00:00:00.000000058,77,31,0,135
1970-01-01 00:00:00.000000089,93,82,1,182
1970-01-01 00:00:00.000000041,13,60,0,54
1970-01-01 00:00:00.000000063,60,7,0,123
1970-01-01 00:00:00.000000060,83,33,0,143
1970-01-01 00:00:00.000000014,51,7,0,65
1970-01-01 00:00:00.000000003,94,55,0,97
1970-01-01 00:00:00.000000039,90,23,0,129
1970-01-01 00:00:00.000000049,64,9,0,113
1970-01-01 00:00:00.000000043,17,97,0,60
1970-01-01 00:00:00.000000053,48,25,0,101
1970-01-01 00:00:00.000000024,26,62,0,50
1970-01-01 00:00:00.000000033,37,95,0,70
1970-01-01 00:00:00.000000013,16,69,0,29
1970-01-01 00:00:00.000000032,49,91,0,81
1970-01-01 00:00:00.000000093,19,59,0,112
1970-01-01 00:00:00.000000065,19,74,0,84
1970-01-01 00:00:00.000000026,49,33,0,75
1970-01-01 00:00:00.000000077,48,85,1,125
1970-01-01 00:00:00.000000055,30,93,0,85
1970-01-01 00:00:00.000000002,63,71,0,65
1970-01-01 00:00:00.000000028,82,62,0,110
1970-01-01 00:00:00.000000002,42,33,0,44
1970-01-01 00:00:00.000000050,26,72,0,76
1970-01-01 00:00:00.000000018,11,88,0,29
1970-01-01 00:00:00.000000004,81,8,0,85
1970-01-01 00:00:00.000000092,14,55,0,106
1970-01-01 00:00:00.000000020,85,91,0,105
1970-01-01 00:00:00.000000057,37,78,0,94
1970-01-01 00:00:00.000000090,82,46,1,172
1970-01-01 00:00:00.000000064,68,89,1,132
1970-01-01 00:00:00.000000086,31,85,0,117
1970-01-01 00:00:00.000000054,89,59,1,143
1970-01-01 00:00:00.000000069,75,12,0,144
1970-01-01 00:00:00.000000028,14,99,0,42
1970-01-01 00:00:00.000000080,58,43,1,138
1970-01-01 00:00:00.000000088,35,21,0,123
1970-01-01 00:00:00.000000066,54,32,0,120
1970-01-01 00:00:00.000000057,22,11,0,79
1970-01-01 00:00:00.000000028,36,44,0,64
1970-01-01 00:00:00.000000067,83,14,0,150
1970-01-01 00:00:00.000000083,65,14,0,148
1970-01-01 00:00:00.000000003,85,44,0,88
1970-01-01 00:00:00.000000050,34,43,0,84
1970-01-01 00:00:00.000000086,73,25,0,159
1970-01-01 00:00:00.000000073,23,58,0,96
1970-01-01 00:00:00.000000041,95,77,1,136
1970-01-01 00:00:00.000000084,59,37,0,143
1970-01-01 00:00:00.000000080,47,21,0,127
1970-01-01 00:00:00.000000054,74,6,0,128
1970-01-01 00:00:00.000000007,73,76,0,80
1970-01-01 00:00:00.000000094,12,9,0,106
1970-01-01 00:00:00.000000038,51,80,0,89
1970-01-01 00:00:00.000000016,88,32,0,104
1970-01-01 00:00:00.000000027,61,77,0,88
1970-01-01 00:00:00.000000006,46,63,0,52
1970-01-01 00:00:00.000000039,12,26,0,51
1970-01-01 00:00:00.000000009,30,95,0,39
1970-01-01 00:00:00.000000009,35,84,0,44
1970-01-01 00:00:00.000000039,51,70,0,90
1970-01-01 00:00:00.000000038,82,9,0,120
1970-01-01 00:00:00.000000095,27,53,0,122
1970-01-01 00:00:00.000000020,53,30,0,73
1970-01-01 00:00:00.000000053,64,49,1,117
1970-01-01 00:00:00.000000072,37,17,0,109
1970-01-01 00:00:00.000000032,44,31,0,76
1970-01-01 00:00:00.000000016,22,78,0,38
1970-01-01 00:00:00.000000001,58,91,0,59
1970-01-01 00:00:00.000000071,80,60,1,151
1970-01-01 00:00:00.000000004,54,80,0,58
1970-01-01 00:00:00.000000075,78,29,0,153
1970-01-01 00:00:00.000000027,72,68,0,99
1970-01-01 00:00:00.000000072,78,18,0,150
1970-01-01 00:00:00.000000058,40,90,1,98
1970-01-01 00:00:00.000000021,18,54,0,39
1970-01-01 00:00:00.000000099,15,42,0,114
1970-01-01 00:00:00.000000090,20,69,0,110
1970-01-01 00:00:00.000000079,27,68,0,106
1970-01-01 00:00:00.000000065,31,7,0,96
1970-01-01 00:00:00.000000004,31,46,0,35
1970-01-01 00:00:00.000000048,78,83,1,126
1970-01-01 00:00:00.000000025,37,56,0,62
1970-01-01 00:00:00.000000044,44,41,1,88
1970-01-01 00:00:00.000000012,52,7,0,64
1970-01-01 00:00:00.000000026,86,25,0,112
1970-01-01 00:00:00.000000073,74,30,0,147
1970-01-01 00:00:00.000000086,42,46,1,128
1970-01-01 00:00:00.000000055,57,77,1,112
1970-01-01 00:00:00.000000075,53,22,0,128
1970-01-01 00:00:00.000000024,53,48,0,77
1970-01-01 00:00:00.000000063,24,59,0,87
1970-01-01 00:00:00.000000013,47,32,0,60
1970-01-01 00:00:00.000000085,40,39,0,125
1970-01-01 00:00:00.000000049,87,91,1,136
1970-01-01 00:00:00.000000037,72,17,0,109
1970-01-01 00:00:00.000000064,27,53,0,91
1970-01-01 00:00:00.000000063,84,75,1,147
1970-01-01 00:00:00.000000002,80,49,0,82
1970-01-01 00:00:00.000000041,23,92,0,64
1970-01-01 00:00:00.000000078,51,73,1,129
1970-01-01 00:00:00.000000051,15,67,0,66
1970-01-01 00:00:00.000000036,62,73,0,98
1970-01-01 00:00:00.000000002,19,35,0,21
1970-01-01 00:00:00.000000020,58,13,0,78
1970-01-01 00:00:00.000000025,28,97,0,53
1970-01-01 00:00:00.000000041,26,10,0,67
1970-01-01 00:00:00.000000072,53,15,0,125
1970-01-01 00:00:00.000000100,24,22,0,124
1970-01-01 00:00:00.000000017,88,26,0,105
1970-01-01 00:00:00.000000043,85,26,0,128
1970-01-01 00:00:00.000000054,58,73,1,112
1970-01-01 00:00:00.000000027,19,32,0,46
1970-01-01 00:00:00.000000034,83,39,0,117
1970-01-01 00:00:00.000000086,80,47,1,166
1970-01-01 00:00:00.000000012,38,81,0,50
1970-01-01 00:00:00.000000048,82,69,1,130
1970-01-01 00:00:00.000000070,20,37,0,90
1970-01-01 00:00:00.000000044,44,52,1,88
1970-01-01 00:00:00.000000087,56,48,1,143
1970-01-01 00:00:00.000000068,47,48,1,115
1970-01-01 00:00:00.000000062,82,19,0,144
1970-01-01 00:00:00.000000098,78,42,1,176
1970-01-01 00:00:00.000000068,24,35,0,92
1970-01-01 00:00:00.000000030,68,82,0,98
1970-01-01 00:00:00.000000008,45,96,0,53
1970-01-01 00:00:00.000000092,23,67,0,115
1970-01-01 00:00:00.000000005,15,22,0,20
1970-01-01 00:00:00.000000010,47,79,0,57
1970-01-01 00:00:00.000000017,11,75,0,28
1970-01-01 00:00:00.000000021,88,18,0,109
1970-01-01 00:00:00.000000021,95,46,0,116
1970-01-01 00:00:00.000000068,11,10,0,79
1970-01-01 00:00:00.000000027,21,57,0,48
1970-01-01 00:00:00.000000034,62,14,0,96
1970-01-01 00:00:00.000000097,24,53,0,121
1970-01-01 00:00:00.000000042,15,23,0,57
1970-01-01 00:00:00.000000076,34,21,0,110
1970-01-01 00:00:00.000000064,40,48,1,104
1970-01-01 00:00:00.000000032,85,19,0,117
1970-01-01 00:00:00.000000047,63,83,1,110
1970-01-01 00:00:00.000000043,30,80,0,73
1970-01-01 00:00:00.000000043,24,53,0,67
1970-01-01 00:00:00.000000014,67,14,0,81
1970-01-01 00:00:00.000000037,31,78,0,68
1970-01-01 00:00:00.000000030,40,75,0,70
1970-01-01 00:00:00.000000077,30,33,0,107
1970-01-01 00:00:00.000000099,23,77,0,122
1970-01-01 00:00:00.000000091,65,15,0,156
1970-01-01 00:00:00.000000062,58,39,0,120
1970-01-01 00:00:00.000000017,79,51,0,96
1970-01-01 00:00:00.000000074,47,42,1,121
1970-01-01 00:00:00.000000070,80,77,1,150
1970-01-01 00:00:00.000000098,42,73,1,140
1970-01-01 00:00:00.000000013,71,19,0,84
1970-01-01 00:00:00.000000041,50,63,1,91
1970-01-01 00:00:00.000000005,22,40,0,27
1970-01-01 00:00:00.000000052,36,18,0,88
1970-01-01 00:00:00.000000009,93,10,0,102
1970-01-01 00:00:00.000000048,50,42,1,98
1970-01-01 00:00:00.000000100,15,6,0,115
1970-01-01 00:00:00.000000018,13,83,0,31
1970-01-01 00:00:00.000000016,11,90,0,27
1970-01-01 00:00:00.000000043,47,6,0,90
1970-01-01 00:00:00.000000014,86,16,0,100
1970-01-01 00:00:00.000000078,50,57,1,128
1970-01-01 00:00:00.000000075,67,19,0,142
1970-01-01 00:00:00.000000100,60,10,0,160
1970-01-01 00:00:00.000000048,50,29,0,98
1970-01-01 00:00:00.000000009,61,35,0,70
1970-01-01 00:00:00.000000073,18,80,0,91
1970-01-01 00:00:00.000000070,18,58,0,88
1970-01-01 00:00:00.000000028,50,25,0,78
1970-01-01 00:00:00.000000072,86,19,0,158
1970-01-01 00:00:00.000000010,68,62,0,78
1970-01-01 00:00:00.000000034,24,26,0,58
1970-01-01 00:00:00.000000046,42,92,1,88
1970-01-01 00:00:00.000000037,37,35,0,74
1970-01-01 00:00:00.000000072,89,25,0,161
1970-01-01 00:00:00.000000068,79,18,0,147
1970-01-01 00:00:00.000000014,70,60,0,84
1970-01-01 00:00:00.000000058,94,53,1,152
1970-01-01 00:00:00.000000035,55,74,0,90
1970-01-01 00:00:00.000000013,43,42,0,56
1970-01-01 00:00:00.000000100,33,75,0,133
1970-01-01 00:00:00.000000005,79,37,0,84
1970-01-01 00:00:00.000000037,36,96,0,73
1970-01-01 00:00:00.000000001,49,66,0,50
1970-01-01 00:00:00.000000078,35,45,0,113
1970-01-01 00:00:00.000000085,41,17,0,126
1970-01-01 00:00:00.000000001,56,31,0,57
1970-01-01 00:00:00.000000011,20,88,0,31
1970-01-01 00:00:00.000000052,45,45,1,97
1970-01-01 00:00:00.000000014,21,10,0,35
1970-01-01 00:00:00.000000005,67,8,0,72
1970-01-01 00:00:00.000000024,21,6,0,45
1970-01-01 00:00:00.000000030,93,42,0,123
1970-01-01 00:00:00.000000100,83,97,1,183
1970-01-01 00:00:00.000000075,92,81,1,167
1970-01-01 00:00:00.000000053,53,45,1,106
1970-01-01 00:00:00.000000020,39,62,0,59
1970-01-01 00:00:00.000000014,59,55,0,73
1970-01-01 00:00:00.000000057,49,45,1,106
1970-01-01 00:00:00.000000021,15,56,0,36
1970-01-01 00:00:00.000000087,51,13,0,138
1970-01-01 00:00:00.000000030,33,13,0,63
1970-01-01 00:00:00.000000020,50,45,0,70
1970-01-01 00:00:00.000000095,84,81,1,179
1970-01-01 00:00:00.000000013,48,63,0,61
1970-01-01 00:00:00.000000055,41,19,0,96
1970-01-01 00:00:00.000000048,52,37,0,100
1970-01-01 00:00:00.000000069,22,32,0,91
1970-01-01 00:00:00.000000037,79,84,0,116
1970-01-01 00:00:00.000000070,88,74,1,158
1970-01-01 00:00:00.000000032,84,93,0,116
1970-01-01 00:00:00.000000091,86,65,1,177
1970-01-01 00:00:00.000000061,21,89,0,82
1970-01-01 00:00:00.000000040,41,50,1,81
1970-01-01 00:00:00.000000012,38,38,0,50
1970-01-01 00:00:00.000000026,12,28,0,38
1970-01-01 00:00:00.000000083,41,74,1,124
1970-01-01 00:00:00.000000040,61,31,0,101
1970-01-01 00:00:00.000000005,19,44,0,24
1970-01-01 00:00:00.000000003,44,30,0,47
1970-01-01 00:00:00.000000001,80,36,0,81
1970-01-01 00:00:00.000000100,19,51,0,119
1970-01-01 00:00:00.000000037,19,15,0,56
1970-01-01 00:00:00.000000092,12,40,0,104
1970-01-01 00:00:00.000000076,91,16,0,167
1970-01-01 00:00:00.000000040,11,62,0,51
1970-01-01 00:00:00.000000057,47,16,0,104
1970-01-01 00:00:00.000000050,55,88,1,105
1970-01-01 00:00:00.000000040,73,78,1,113
1970-01-01 00:00:00.000000051,70,87,1,121
1970-01-01 00:00:00.000000008,29,48,0,37
1970-01-01 00:00:00.000000008,22,34,0,30
1970-01-01 00:00:00.000000040,74,54,1,114
1970-01-01 00:00:00.000000076,51,44,1,127
1970-01-01 00:00:00.000000058,19,10,0,77
1970-01-01 00:00:00.000000014,75,46,0,89
1970-01-01 00:00:00.000000032,95,28,0,127
1970-01-01 00:00:00.000000027,32,45,0,59
1970-01-01 00:00:00.000000100,32,79,0,132
1970-01-01 00:00:00.000000079,29,43,0,108
1970-01-01 00:00:00.000000099,28,36,0,127
1970-01-01 00:00:00.000000069,50,47,1,119
1970-01-01 00:00:00.000000088,49,17,0,137
1970-01-01 00:00:00.000000060,23,74,0,83
1970-01-01 00:00:00.000000084,75,83,1,159
1970-01-01 00:00:00.000000045,87,79,1,132
1970-01-01 00:00:00.000000033,47,81,0,80
1970-01-01 00:00:00.000000023,26,16,0,49
1970-01-01 00:00:00.000000069,36,36,0,105
1970-01-01 00:00:00.000000026,28,33,0,54
1970-01-01 00:00:00.000000039,79,7,0,118
1970-01-01 00:00:00.000000025,14,36,0,39
1970-01-01 00:00:00.000000031,50,56,0,81
1970-01-01 00:00:00.000000046,89,14,0,135
1970-01-01 00:00:00.000000010,80,39,0,90
1970-01-01 00:00:00.000000035,36,75,0,71
1970-01-01 00:00:00.000000011,32,14,0,43
1970-01-01 00:00:00.000000096,48,98,1,144
1970-01-01 00:00:00.000000057,65,14,0,122
1970-01-01 00:00:00.000000011,78,7,0,89
1970-01-01 00:00:00.000000083,30,86,0,113
1970-01-01 00:00:00.000000073,16,6,0,89
1970-01-01 00:00:00.000000082,95,42,1,177
1970-01-01 00:00:00.000000043,41,50,1,84
1970-01-01 00:00:00.000000029,42,68,0,71
1970-01-01 00:00:00.000000049,18,65,0,67
1970-01-01 00:00:00.000000039,67,24,0,106
1970-01-01 00:00:00.000000005,65,17,0,70
1970-01-01 00:00:00.000000041,80,69,1,121
1970-01-01 00:00:00.000000023,42,46,0,65
1970-01-01 00:00:00.000000040,79,14,0,119
1970-01-01 00:00:00.000000074,66,70,1,140
1970-01-01 00:00:00.000000038,78,90,0,116
1970-01-01 00:00:00.000000031,68,27,0,99
1970-01-01 00:00:00.000000042,11,27,0,53
1970-01-01 00:00:00.000000012,60,24,0,72
1970-01-01 00:00:00.000000069,53,23,0,122
1970-01-01 00:00:00.000000078,31,45,0,109
1970-01-01 00:00:00.000000074,43,44,1,117
1970-01-01 00:00:00.000000076,72,18,0,148
1970-01-01 00:00:00.000000011,13,95,0,24
1970-01-01 00:00:00.000000031,92,70,0,123
1970-01-01 00:00:00.000000028,63,82,0,91
1970-01-01 00:00:00.000000002,83,42,0,85
1970-01-01 00:00:00.000000031,12,21,0,43
1970-01-01 00:00:00.000000051,17,31,0,68
1970-01-01 00:00:00.000000009,55,23,0,64
1970-01-01 00:00:00.000000034,84,74,0,118
1970-01-01 00:00:00.000000070,27,97,0,97
1970-01-01 00:00:00.000000009,85,9,0,94
1970-01-01 00:00:00.000000093,26,45,0,119
1970-01-01 00:00:00.000000009,27,84,0,36
1970-01-01 00:00:00.000000002,43,91,0,45
1970-01-01 00:00:00.000000081,45,75,1,126
1970-01-01 00:00:00.000000001,60,93,0,61
1970-01-01 00:00:00.000000037,82,31,0,119
1970-01-01 00:00:00.000000096,61,27,0,157
1970-01-01 00:00:00.000000045,32,43,0,77
1970-01-01 00:00:00.000000063,88,60,1,151
1970-01-01 00:00:00.000000060,21,73,0,81
1970-01-01 00:00:00.000000019,39,25,0,58
1970-01-01 00:00:00.000000012,72,11,0,84
1970-01-01 00:00:00.000000064,10,96,0,74
1970-01-01 00:00:00.000000099,32,90,0,131
1970-01-01 00:00:00.000000041,77,36,0,118
1970-01-01 00:00:00.000000009,50,37,0,59
1970-01-01 00:00:00.000000065,74,13,0,139
1970-01-01 00:00:00.000000085,93,92,1,178
1970-01-01 00:00:00.000000022,66,62,0,88
1970-01-01 00:00:00.000000022,91,60,0,113
1970-01-01 00:00:00.000000099,38,75,0,137
1970-01-01 00:00:00.000000019,40,37,0,59
1970-01-01 00:00:00.000000018,50,74,0,68
1970-01-01 00:00:00.000000040,73,61,1,113
1970-01-01 00:00:00.000000039,71,73,0,110
1970-01-01 00:00:00.000000013,38,63,0,51
1970-01-01 00:00:00.000000090,62,6,0,152
1970-01-01 00:00:00.000000065,53,55,1,118
1970-01-01 00:00:00.000000077,81,48,1,158
1970-01-01 00:00:00.000000037,88,26,0,125
1970-01-01 00:00:00.000000016,93,38,0,109
1970-01-01 00:00:00.000000026,45,67,0,71
1970-01-01 00:00:00.000000018,92,8,0,110
1970-01-01 00:00:00.000000069,38,87,0,107
1970-01-01 00:00:00.000000092,16,58,0,108
1970-01-01 00:00:00.000000004,19,78,0,23
1970-01-01 00:00:00.000000099,75,7,0,174
1970-01-01 00:00:00.000000040,92,12,0,132
1970-01-01 00:00:00.000000079,57,93,1,136
1970-01-01 00:00:00.000000086,30,50,0,116
1970-01-01 00:00:00.000000070,75,79,1,145
1970-01-01 00:00:00.000000095,36,22,0,131
1970-01-01 00:00:00.000000088,49,80,1,137
1970-01-01 00:00:00.000000026,48,21,0,74
1970-01-01 00:00:00.000000022,48,22,0,70
1970-01-01 00:00:00.000000038,80,38,0,118
1970-01-01 00:00:00.000000055,57,40,1,112
1970-01-01 00:00:00.000000068,31,55,0,99
1970-01-01 00:00:00.000000020,69,77,0,89
1970-01-01 00:00:00.000000006,86,56,0,92
1970-01-01 00:00:00.000000091,20,27,0,111
1970-01-01 00:00:00.000000085,25,83,0,110
1970-01-01 00:00:00.000000031,87,16,0,118
1970-01-01 00:00:00.000000032,75,34,0,107
